"Дата","Плановые_доходы","Фактические_доходы","Дополнительные_поступления","Исполнение_доп_доходов","Плановые_расходы","Фактические_расходы","Дополнительные_расходы","Исполнение_доп_расходов"
2023-12-01,498828636.889159,488874511.003855,7293248.76827881,7239591.75027145,613247380.279147,462810688.082233,7249129.45224845,7125589.05729245
2024-01-01,501256798.283687,489627487.195703,7542453.58740994,7484685.15125694,620066083.321299,461644401.601473,7494102.07936871,7303402.08536576
2024-02-01,503678372.966709,490118186.843467,7801708.88666914,7734508.41273775,626857291.989673,460898226.549074,7744098.58344275,7473249.9451556
2024-03-01,506090592.380662,490330811.568072,8071164.75111866,7988837.77855574,633605365.670107,460606883.317832,7998912.70603129,7634212.73080987
2024-04-01,508490687.967981,490249562.990442,8350971.26582075,8247449.49255279,640294663.748441,460805092.300542,8258338.18869505,7785370.53647646
2024-05-01,510875891.171102,489858642.731503,8641278.51583765,8510119.79857077,646909545.61051,461527573.89,8522168.77299475,7925803.45630328
2024-06-01,513243433.432461,489142252.412181,8942236.58623163,8776624.94045156,653434370.642154,462809048.479002,8790198.20049112,8054591.5844382
2024-07-01,515590546.194492,488084593.6534,9253995.56206493,9046741.16203701,659853498.22921,464684236.460344,9062220.21274489,8170815.01502912
2024-08-01,517914460.899633,486669868.076086,9576705.5283998,9320244.70716902,666151287.757517,467187858.226821,9338028.55131678,8273553.84222394
2024-09-01,520212408.990319,484882277.301164,9910516.57029849,9596911.81968945,672312098.612911,470354634.17123,9617416.95776751,8361888.16017055
2024-10-01,522481621.908985,482706022.949558,10255578.7728233,9876518.74344018,678320290.181231,474219284.686365,9900179.17365781,8434898.06301683
2024-11-01,524719331.098066,480125306.642195,10612042.2210363,10158841.7222631,684160221.848315,478816530.165023,10186108.9405484,8491663.64491068
2024-12-01,526922768,477124330,10980057,10443657,689816253,484181091,10475000,8531265
